GRNDS_ARVL_YMD,IGTN_HTSRC_SCLSF_NM,IGTN_HTSRC_LCLSF_NM,OCRN_YMD,MBLZ_EQPMNT_CNT,WHOL_MNPW_CNT,TP_VL,LFDAU_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,GRNDS_SGG_NM,CBK_YMD,GRNDS_DSTNC,LYCRG_FRBRG_NOPE,MBLZ_POLICEO_CNT,BGNN_POTFR_TM,FRST_IGOBJ_LCLSF_NM,WRINV_NO,MBLZ_PRVTM_GAS_REL_INST_CNT,UPCLS_INST_NM,HUM_VL,INJPSN_CNT,ACDNT_OCRN_LOT,FIRE_OCRN_HR,GRNDS_ARVL_TM,PRFECT_POTFR_TM,WTHR_INFO,ROAD_NM,FCLT_PLC_SCLSF_NM,HNUM_NM,BGNN_POTFR_YMD,CMBS_EXPOBJ_LCLSF_NM,ACDNT_OCRN_LAT,DSPT_TM,DCSD_CNT,OCRN_CS_NM,MBLZ_FFPWR_CNT,FIRE_TYPE_NM,CBK_TM,ETC_MBLZ_NOPE,MBLZ_GNRL_OCPT_NOPE,RCPT_YMD,IGTN_CS_NM,SPNWS_CN,RCPT_TM,PRFECT_POTFR_YMD,IGTN_DMNT_SCLSF_NM,DSPT_REQ_TM,FRST_IGOBJ_SCLSF_NM,HR_UNIT_WSPD,LFDAU_GRNDS_DSTNC,FRSTN_NM,DSPT_YMD,PRPT_DAM_AMT,CMBS_EXPOBJ_SCLSF_NM,year,IGTN_BRNCH_NM,SN,GRNDS_CTPV_NM,IGTN_DMNT_LCLSF_NM,MBLZ_SOLD_CNT,CNTR_GRNDS_DSTNC,HR_UNIT_WNDRCT,FIRE_SUPESN_REQ_TM,CNTR_NM,HNL_DAM_CNT
20110122,방화의심,담뱃불/라이터불,20110122,8,37,-1.0,,임야,산불,강릉시,20110123,9,0,0,121115,종이/목재/건초등,110123000000000.0,0,강원소방본부,30,0,,233500,235315,1115,맑음,,사유림,108-41,20110123,종이/목재/건초등,,233615,0,원거리소방서/현장진입지연(불법주차)/화재인지/신고지연,19,임야,20515,0,18,20110122,기타,,233511,20110123,라이터불/성냥불,1700,풀/나뭇잎,45.0,0.0,강릉소방서,20110122,0,나무,2011,산정상,1,강원도,방화의심,0,9,8.0,1800,경포119안전센터,0
20110131,불씨/불꽃/화원방치,불꽃/불티,20110131,71,1872,1.0,,임야,산불,양양군,20110201,43,335,10,94538,종이/목재/건초등,110201000000000.0,8,강원소방본부,10,0,,181300,183024,103016,맑음,,사유림,289,20110201,기타,,181409,0,기상(건조/강풍등),270,임야,114552,549,700,20110131,기타,건조경보,181311,20110201,모닥불/연탄/숯,1615,풀/나뭇잎,225.0,0.0,양양소방서,20110131,184330,기타,2011,산아래,2,강원도,부주의,0,13,8.0,155952,하조대119안전센터,0
20110201,방화의심,기타,20110201,15,184,1.0,,임야,산불,강릉시,20110201,7,7,50,102300,종이/목재/건초등,110202000000000.0,0,강원소방본부,550,0,,210700,211500,223800,맑음,,사유림,147-3,20110201,,,210826,0,,17,임야,233000,0,110,20110201,기타,,210710,20110201,기타,634,잔디,135.0,0.0,강릉소방서,20110201,0,,2011,산정상,3,강원도,방화의심,0,6,4.0,12300,경포119안전센터,0
20110211,기타,기타,20110211,9,171,-2.0,내촌119지역대,임야,산불,홍천군,20110211,37,87,10,74100,종이/목재/건초등,110211000000000.0,33,강원소방본부,29,0,,175000,181500,202000,구름많음,,국유림,5,20110211,,,175220,0,,8,임야,214955,0,33,20110211,입산자실화,,175032,20110211,기타,2240,풀/나뭇잎,225.0,7.0,홍천소방서,20110211,4864,,2011,산중턱,4,강원도,기타,0,37,4.0,20500,서석119안전센터,0
20110212,불씨/불꽃/화원방치,불꽃/불티,20110212,9,94,-6.0,귀래119지역대,임야,산불,원주시,20110212,20,26,4,82038,종이/목재/건초등,110212000000000.0,38,강원소방본부,44,0,,61800,64029,103038,구름많음,,사유림,1894-3,20110212,종이/목재/건초등,,62010,0,화재인지/신고지연,11,임야,111838,15,0,20110212,모닥불,,61836,20110212,모닥불/연탄/숯,2019,풀/나뭇잎,225.0,8.0,원주소방서,20110212,50,풀/나뭇잎,2011,산중턱,5,강원도,부주의,0,20,4.0,35009,흥업119안전센터,0
20110226,담배꽁초,담뱃불/라이터불,20110226,8,46,14.0,,임야,산불,원주시,20110226,8,0,0,52601,종이/목재/건초등,110226000000000.0,36,강원소방본부,23,0,,164200,164901,172726,맑음,,사유림,363-33,20110226,종이/목재/건초등,,164353,0,기상(건조/강풍등),10,임야,183011,0,0,20110226,담뱃불,,164234,20110226,담뱃불,508,풀/나뭇잎,180.0,0.0,원주소방서,20110226,440,풀/나뭇잎,2011,산정상,6,강원도,부주의,0,2,4.0,3825,태장119안전센터,0
20110309,부주의,불꽃/불티,20110309,26,204,1.0,,임야,산불,영월군,20110310,9,41,5,50016,침구/직물류,110309000000000.0,67,강원소방본부,19,0,,131800,132916,200016,맑음,,국유림,,20110309,,,131916,0,,17,임야,83947,29,45,20110309,기타,,131855,20110309,불꽃/불티,1000,침구/직물류,225.0,8.0,영월소방서,20110309,600,,2011,산아래,7,강원도,부주의,0,9,8.0,63100,영월119안전센터,0
20110311,부주의,미상,20110311,10,214,5.0,,임야,산불,횡성군,20110311,17,15,5,21746,종이/목재/건초등,110311000000000.0,0,강원소방본부,43,0,,134200,140409,151737,맑음,,사유림,21,20110311,종이/목재/건초등,,134334,0,가연성물질의급격한연소/기상(건조/강풍등)/원거리소방서,10,임야,162000,74,110,20110311,입산자실화,,134249,20110311,미상,2035,풀/나뭇잎,225.0,0.0,횡성소방서,20110311,0,나무,2011,산정상,8,강원도,부주의,0,10,4.0,11328,우천119안전센터,0
20110314,미상,미상,20110314,5,116,4.0,,임야,산불,영월군,20110314,9,33,4,90022,미상,110315000000000.0,0,강원소방본부,67,0,,193500,195222,230622,맑음,,사유림,80,20110314,,,193540,0,,11,임야,234022,0,68,20110314,미상,,193519,20110314,미상,1642,미상,45.0,7.0,영월소방서,20110314,64,,2011,산아래,9,강원도,미상,0,9,4.0,31400,영월119안전센터,0
20110318,기타,기타,20110318,15,88,9.0,,임야,산불,홍천군,20110318,6,21,4,123300,종이/목재/건초등,110318000000000.0,10,강원소방본부,21,0,,115800,120327,124800,맑음,,사유림,,20110318,종이/목재/건초등,,115900,0,가연성물질의급격한연소,16,임야,134453,15,22,20110318,입산자실화,,115807,20110318,기타,427,풀/나뭇잎,315.0,0.0,홍천소방서,20110318,3264,풀/나뭇잎,2011,산정상,10,강원도,기타,0,6,4.0,4433,홍천119안전센터,0
20110324,논/임야태우기,불꽃/불티,20110324,8,102,4.0,,임야,산불,화천군,20110324,46,12,2,15021,종이/목재/건초등,110324000000000.0,10,강원소방본부,47,0,,125600,130321,135021,맑음,,사유림,산240,20110324,,,125721,0,,4,임야,152021,44,30,20110324,논/밭두렁,,125625,20110324,쓰레기/논밭두렁,600,풀/나뭇잎,90.0,0.0,춘천소방서,20110324,0,,2011,산아래,11,강원도,부주의,0,6,8.0,4700,화천119안전센터,0
20110401,불씨/불꽃/화원방치,불꽃/불티,20110401,19,160,14.0,,임야,산불,정선군,20110401,8,33,10,122020,기타,110401000000000.0,70,강원소방본부,24,0,,105200,110300,133000,맑음,,사유림,산18,20110401,,,105300,0,,7,임야,145000,20,20,20110401,논/밭두렁,,105215,20110401,쓰레기/논밭두렁,1000,기타,315.0,12.0,정선소방서,20110401,0,,2011,산아래,12,강원도,부주의,0,8,4.0,22700,조양119안전센터,0
20110405,미상,미상,20110405,3,67,16.0,,임야,산불,춘천시,20110405,40,30,4,120036,종이/목재/건초등,110405000000000.0,2,강원소방본부,47,0,,110400,112736,120036,맑음,,사유림,47,20110405,,,110536,0,,7,임야,133036,0,24,20110405,미상,,110414,20110405,미상,2200,풀/나뭇잎,225.0,0.0,춘천소방서,20110405,1485,,2011,산중턱,13,강원도,미상,0,25,4.0,3300,강촌119안전센터,0
20110406,담배꽁초,담뱃불/라이터불,20110406,11,294,13.0,,임야,산불,철원군,20110406,13,20,8,24857,종이/목재/건초등,110406000000000.0,12,강원소방본부,41,0,,144100,144557,155057,맑음,,사유림,52,20110406,종이/목재/건초등,,144257,0,가연성물질의급격한연소/기상(건조/강풍등),14,임야,163257,0,50,20110406,성묘객,,144134,20110406,담뱃불,300,건초,90.0,0.0,철원소방서,20110406,0,건초,2011,산아래,14,강원도,부주의,190,2,8.0,10500,동송119안전센터,0
20110406,담배꽁초,담뱃불/라이터불,20110406,20,160,17.0,,임야,산불,강릉시,20110406,18,15,10,45500,종이/목재/건초등,110406000000000.0,50,강원소방본부,13,0,,162300,164400,170000,맑음,,사유림,456-1,20110406,,,162400,0,,15,임야,175000,20,50,20110406,담뱃불,건조주의보,162315,20110406,담뱃불,2000,풀/나뭇잎,270.0,0.0,강릉소방서,20110406,0,,2011,산정상,15,강원도,부주의,0,17,4.0,1600,내곡119안전센터,0
20110409,미상,미상,20110409,5,68,19.0,,임야,산불,양구군,20110409,50,10,2,10128,미상,110409000000000.0,30,강원소방본부,14,0,,123000,124438,130401,맑음,,사유림,산44-2,20110409,,,123138,0,,6,임야,134421,0,20,20110409,미상,,123036,20110409,미상,1300,미상,270.0,0.0,춘천소방서,20110409,0,,2011,산아래,16,강원도,미상,0,15,17.0,1923,양구119안전센터,0
20110409,기타,담뱃불/라이터불,20110409,3,94,18.0,,임야,산불,양구군,20110409,48,10,2,14000,쓰레기류,110409000000000.0,43,강원소방본부,16,0,,125200,130007,140000,맑음,,사유림,산29,20110409,종이/목재/건초등,,125348,0,기상(건조/강풍등),3,임야,143000,1,35,20110409,성묘객,,125248,20110409,라이터불/성냥불,619,기타쓰레기,270.0,7.0,춘천소방서,20110409,0,풀/나뭇잎,2011,산아래,17,강원도,기타,0,17,17.0,5953,양구119안전센터,0
20110410,불씨/불꽃/화원방치,불꽃/불티,20110410,7,63,18.0,,임야,산불,화천군,20110410,45,21,0,125714,종이/목재/건초등,110410000000000.0,2,강원소방본부,28,0,,121300,122343,125714,구름많음,,사유림,산351-1,20110410,,,121343,0,,8,임야,140043,22,10,20110410,건물,,121316,20110410,굴뚝아궁이,1000,종이/목재/건초등,270.0,0.0,춘천소방서,20110410,0,,2011,산아래,18,강원도,부주의,0,10,17.0,3331,화천119안전센터,0
20110413,미상,미상,20110413,17,936,23.0,,임야,산불,양양군,20110413,24,75,80,45819,종이/목재/건초등,110413000000000.0,0,강원소방본부,11,0,,153200,163029,175000,맑음,,사유림,57,20110413,,,153728,0,,25,임야,183000,215,320,20110413,미상,건조주의보,153237,20110413,미상,5301,풀/나뭇잎,225.0,0.0,양양소방서,20110413,6982,,2011,산아래,19,강원도,미상,221,7,8.0,11931,양양119안전센터,0
20110413,불장난,담뱃불/라이터불,20110413,18,209,21.0,,임야,산불,삼척시,20110413,27,39,7,44541,종이/목재/건초등,110413000000000.0,89,강원소방본부,15,0,,155500,160641,171041,맑음,,사유림,,20110413,종이/목재/건초등,,155641,0,기상(건조/강풍등),12,임야,190041,0,62,20110413,입산자실화,,155538,20110413,라이터불/성냥불,1000,풀/나뭇잎,270.0,0.0,삼척소방서,20110413,0,풀/나뭇잎,2011,산중턱,20,강원도,부주의,0,9,4.0,10400,도계119안전센터,0
20110413,쓰레기소각,불꽃/불티,20110413,18,174,13.0,,임야,산불,영월군,20110413,44,47,5,53045,종이/목재/건초등,110413000000000.0,82,강원소방본부,36,0,,164700,172245,175045,맑음,,사유림,1683-2,20110413,,,164740,0,,10,임야,194545,0,30,20110413,쓰레기소각장,,164719,20110413,쓰레기/논밭두렁,3505,풀/나뭇잎,315.0,0.0,영월소방서,20110413,0,,2011,산중턱,21,강원도,부주의,0,18,4.0,2800,주천119안전센터,0
20110413,미상,미상,20110413,3,111,5.0,,임야,산불,춘천시,20110414,10,20,2,124038,미상,110414000000000.0,0,강원소방본부,59,0,,234000,235538,4038,맑음,,사유림,107-28,20110414,,,234138,0,,9,임야,31038,40,40,20110413,미상,,234046,20110414,미상,1400,미상,180.0,0.0,춘천소방서,20110413,99,,2011,산중턱,22,강원도,미상,0,8,4.0,4500,석사119안전센터,0
20110416,담배꽁초,담뱃불/라이터불,20110416,6,72,11.0,,임야,산불,춘천시,20110416,30,15,0,63000,종이/목재/건초등,110416000000000.0,0,강원소방본부,39,0,,181400,182800,183000,맑음,,사유림,,20110416,,,181558,0,,7,임야,212100,30,20,20110416,담뱃불,건조주의보,181413,20110416,담뱃불,1202,건초,0.0,0.0,춘천소방서,20110416,0,,2011,산정상,23,강원도,부주의,0,13,4.0,200,강촌119안전센터,0
20110417,부주의,기타,20110417,7,198,11.0,남면119지역대,임야,산불,인제군,20110417,47,25,10,15015,기타,110417000000000.0,53,강원소방본부,58,0,,123500,124510,142000,맑음,,사유림,산36,20110417,종이/목재/건초등,,124130,0,가연성물질의급격한연소/기상(건조/강풍등),10,임야,163020,50,50,20110417,미상,,123520,20110417,기타,340,기타,135.0,12.0,인제소방서,20110417,115,풀/나뭇잎,2011,산중턱,24,강원도,부주의,0,27,,13450,인제119안전센터,0
20110417,쓰레기소각,불꽃/불티,20110417,10,154,18.0,,임야,산불,횡성군,20110417,24,41,3,30830,종이/목재/건초등,110417000000000.0,80,강원소방본부,22,1,,142200,143245,150837,맑음,,사유림,산12,20110417,,,142248,0,기상(건조/강풍등),10,임야,161229,20,0,20110417,쓰레기소각장,,142209,20110417,쓰레기/논밭두렁,957,풀/나뭇잎,225.0,6.0,횡성소방서,20110417,0,,2011,산아래,25,강원도,부주의,0,24,4.0,3552,둔내119안전센터,1
20110420,쓰레기소각,불꽃/불티,20110420,14,173,17.0,청일지역대,임야,산불,횡성군,20110420,30,42,3,22910,종이/목재/건초등,110420000000000.0,0,강원소방본부,30,0,,141200,142719,155300,맑음,,사유림,19,20110420,,,141402,0,,10,임야,171028,45,73,20110420,쓰레기소각장,,141240,20110420,쓰레기/논밭두렁,1317,풀/나뭇잎,225.0,11.0,횡성소방서,20110420,0,,2011,산아래,26,강원도,부주의,0,21,8.0,12541,둔내119안전센터,0
20110514,쓰레기소각,불꽃/불티,20110514,6,54,23.0,,임야,산불,철원군,20110514,15,0,3,24600,종이/목재/건초등,110514000000000.0,0,강원소방본부,0,0,,141800,142200,151100,맑음,,사유림,1113-17,20110514,,,141815,0,,16,임야,161000,0,35,20110514,쓰레기소각장,,141802,20110514,쓰레기/논밭두렁,345,풀/나뭇잎,0.0,0.0,철원소방서,20110514,0,,2011,산아래,27,강원도,부주의,0,4,,4900,동송119안전센터,0
20110608,담배꽁초,담뱃불/라이터불,20110608,7,48,27.0,하장119지역대,임야,산불,삼척시,20110608,32,0,4,31041,종이/목재/건초등,110608000000000.0,11,강원소방본부,31,0,,132200,133541,153141,맑음,,국유림,5,20110608,,,132441,0,,9,임야,161741,20,4,20110608,담뱃불,,132257,20110608,담뱃불,1100,풀/나뭇잎,315.0,12.0,삼척소방서,20110608,0,,2011,산중턱,28,강원도,부주의,0,32,4.0,15600,도계119안전센터,0
20110608,논/임야태우기,담뱃불/라이터불,20110608,5,15,20.0,,임야,산불,양양군,20110608,14,0,0,60532,종이/목재/건초등,110608000000000.0,0,강원소방본부,54,0,,174200,180232,182532,구름많음,,사유림,,20110608,,,174332,0,,15,임야,184032,0,0,20110608,기타,,174243,20110608,라이터불/성냥불,1900,풀/나뭇잎,135.0,0.0,양양소방서,20110608,0,,2011,평지,29,강원도,부주의,0,13,4.0,2300,양양119안전센터,0
20110612,미상,미상,20110612,57,53,19.0,,임야,산불,삼척시,20110612,13,8,3,50024,미상,110612000000000.0,10,강원소방본부,75,0,,142300,150024,183024,맑음,,사유림,,20110612,종이/목재/건초등,,142543,0,가연성물질의급격한연소/현장진입지연(불법주차)/화재인지/신고지연,8,임야,205024,0,24,20110612,미상,,142351,20110612,미상,3441,미상,0.0,0.0,삼척소방서,20110612,0,건초,2011,산정상,30,강원도,미상,0,13,4.0,33000,봉황119안전센터,0
20110615,미상,미상,20110615,7,68,31.0,동산119지역대,임야,산불,춘천시,20110615,25,34,0,125053,미상,110615000000000.0,0,강원소방본부,29,0,,122100,122853,130053,맑음,,공유림,46,20110615,,,122453,0,,5,임야,164053,12,17,20110615,미상,,122153,20110615,미상,400,미상,315.0,5.0,춘천소방서,20110615,0,,2011,산정상,31,강원도,미상,0,20,4.0,3200,석사119안전센터,0
20110620,미상,미상,20110620,4,28,23.0,남면119지역대,임야,산불,양구군,20110620,50,0,2,83005,종이/목재/건초등,110620000000000.0,3,강원소방본부,70,0,,190000,192052,204005,맑음,,국유림,산95-1,20110620,,,190140,0,,3,임야,214500,0,5,20110620,미상,,190026,20110620,미상,1912,풀/나뭇잎,135.0,15.0,춘천소방서,20110620,0,,2011,산중턱,32,강원도,미상,15,10,4.0,11913,양구119안전센터,0
20111006,담배꽁초,미상,20111006,3,70,18.0,,임야,산불,화천군,20111007,57,36,4,72010,종이/목재/건초등,111007000000000.0,0,강원소방본부,34,0,,181300,183610,192010,맑음,,사유림,산222,20111006,,,181510,0,,5,임야,90010,13,12,20111006,담뱃불,,181356,20111006,미상,2100,풀/나뭇잎,225.0,41.0,춘천소방서,20111006,79,,2011,산정상,33,강원도,부주의,0,21,4.0,4400,화천119안전센터,0
20111007,담배꽁초,담뱃불/라이터불,20111007,6,58,21.0,,임야,산불,홍천군,20111007,18,10,5,40809,종이/목재/건초등,111007000000000.0,2,강원소방본부,31,0,,143600,145029,162831,맑음,,공유림,109-1,20111007,,,143802,0,,11,임야,163808,0,20,20111007,담뱃불,,143620,20111007,담뱃불,1227,풀/나뭇잎,225.0,0.0,홍천소방서,20111007,1373,,2011,산정상,34,강원도,부주의,10,18,,13802,양덕원119안전센터,0
20111008,불씨/불꽃/화원방치,불꽃/불티,20111008,7,59,20.0,,임야,산불,홍천군,20111008,18,5,2,22503,종이/목재/건초등,111008000000000.0,4,강원소방본부,34,0,,125500,130223,145400,맑음,,공유림,109-1,20111008,,,125600,0,,9,임야,165546,10,29,20111008,기타,,125536,20111008,불꽃/불티,623,풀/나뭇잎,315.0,0.0,홍천소방서,20111008,0,,2011,산정상,35,강원도,부주의,0,18,4.0,15137,양덕원119안전센터,0
20111013,미상,미상,20111013,5,34,16.0,,임야,산불,춘천시,20111013,20,10,0,35000,미상,111013000000000.0,0,강원소방본부,79,0,,145400,151700,155000,맑음,,국유림,105,20111013,,,145735,0,,9,임야,185900,0,15,20111013,미상,,145450,20111013,미상,1925,미상,0.0,0.0,춘천소방서,20111013,0,,2011,산정상,36,강원도,미상,0,20,4.0,3300,화천119안전센터,0
20111017,미상,미상,20111017,6,44,14.0,,임야,산불,인제군,20111017,73,0,0,43058,종이/목재/건초등,111017000000000.0,0,강원소방본부,19,0,,144100,150358,163058,맑음,,국유림,1-40,20111017,,,144558,0,,7,임야,170058,20,17,20111017,미상,,144118,20111017,미상,1800,풀/나뭇잎,180.0,0.0,인제소방서,20111017,0,,2011,산정상,37,강원도,미상,0,17,4.0,12700,인제119안전센터,0
20111027,부주의,폭발물/폭죽,20111027,4,45,8.0,남면119지역대,임야,산불,양구군,20111027,44,0,0,83557,종이/목재/건초등,111027000000000.0,4,강원소방본부,30,0,,74700,75309,84032,맑음,,국유림,,20111027,,,74836,0,,8,임야,93952,0,3,20111027,군경사격장,,74710,20111027,폭탄/탄약,433,풀/나뭇잎,90.0,5.0,춘천소방서,20111027,0,,2011,산중턱,38,강원도,부주의,30,5,4.0,4723,양구119안전센터,0
20111028,기타,폭발물/폭죽,20111028,8,217,15.0,군탄119지역대,임야,산불,철원군,20111028,16,0,0,24243,종이/목재/건초등,111028000000000.0,0,강원소방본부,60,0,,122700,123943,152043,맑음,,국유림,,20111028,,,122743,0,,7,임야,170443,0,10,20111028,군경사격장,,122700,20111028,폭탄/탄약,1200,풀/나뭇잎,45.0,8.0,철원소방서,20111028,0,,2011,산중턱,39,강원도,기타,200,16,4.0,24100,태봉119안전센터,0
20111031,담배꽁초,담뱃불/라이터불,20111031,9,45,18.0,,임야,산불,철원군,20111031,28,0,0,25010,종이/목재/건초등,111031000000000.0,5,강원소방본부,42,0,,141100,144930,145310,맑음,,국유림,203,20111031,,,141211,0,,10,임야,160027,0,0,20111031,담뱃불,,141104,20111031,담뱃불,3719,풀/나뭇잎,270.0,0.0,철원소방서,20111031,0,,2011,산중턱,40,강원도,부주의,30,15,4.0,340,김화119안전센터,0
20111101,담배꽁초,담뱃불/라이터불,20111101,12,299,14.0,,임야,산불,화천군,20111102,57,38,7,45522,기타,111101000000000.0,20,강원소방본부,63,0,,151900,155255,165555,구름조금,,사유림,224,20111101,종이/목재/건초등,,152318,0,기타,6,임야,130244,66,162,20111101,담뱃불,,151925,20111101,담뱃불,2937,기타,135.0,0.0,춘천소방서,20111101,0,풀/나뭇잎,2011,산중턱,41,강원도,부주의,0,22,4.0,10300,화천119안전센터,0
20111101,부주의,폭발물/폭죽,20111101,2,14,0.0,남면119지역대,임야,산불,양구군,20111101,55,0,0,80820,종이/목재/건초등,111101000000000.0,0,강원소방본부,0,0,,195200,200750,200851,맑음,,국유림,102-2,20111101,,,195351,0,,4,임야,202115,0,0,20111101,군경사격장,,195243,20111101,폭탄/탄약,1359,풀/나뭇잎,0.0,9.0,춘천소방서,20111101,0,,2011,산중턱,42,강원도,부주의,10,5,4.0,101,양구119안전센터,0
20111115,화학적폭발,폭발물/폭죽,20111115,11,57,10.0,,임야,산불,고성군,20111115,23,0,5,103051,종이/목재/건초등,111115000000000.0,20,강원소방본부,23,0,,100000,101251,110551,맑음,,국유림,,20111115,,,100051,0,,12,임야,113751,0,0,20111115,군경사격장,,100036,20111115,폭탄/탄약,1200,풀/나뭇잎,315.0,0.0,고성소방서,20111115,0,,2011,산정상,43,강원도,화학적요인,20,13,4.0,5300,동광119안전센터,0
20111115,불씨/불꽃/화원방치,불꽃/불티,20111115,12,76,11.0,,임야,산불,양양군,20111115,20,0,1,34220,종이/목재/건초등,111115000000000.0,5,강원소방본부,32,0,,153400,153920,155020,맑음,,사유림,99,20111115,,,153445,0,,15,임야,165920,0,55,20111115,쓰레기소각장,,153432,20111115,쓰레기/논밭두렁,435,풀/나뭇잎,0.0,0.0,양양소방서,20111115,0,,2011,산중턱,44,강원도,부주의,0,7,,1100,양양119안전센터,0
20111120,미상,미상,20111120,5,85,-1.0,,임야,산불,인제군,20111121,72,35,0,124310,종이/목재/건초등,111121000000000.0,18,강원소방본부,29,0,,213000,213945,15032,맑음,,국유림,,20111121,,,213144,0,,8,임야,23015,6,18,20111120,입산자실화,,213022,20111121,미상,801,종이/목재/건초등,180.0,0.0,인제소방서,20111120,0,,2011,산아래,45,강원도,미상,0,12,4.0,41047,인제119안전센터,0
20111129,미상,미상,20111129,8,65,13.0,,임야,산불,원주시,20111129,15,0,0,44030,종이/목재/건초등,111129000000000.0,0,강원소방본부,77,0,,160200,163310,165131,구름많음,,공유림,101-2,20111129,,,160613,0,,7,임야,175025,46,12,20111129,미상,,160250,20111129,미상,2657,풀/나뭇잎,45.0,0.0,원주소방서,20111129,0,,2011,산정상,46,강원도,미상,0,6,4.0,1821,태장119안전센터,0
20111208,부주의,폭발물/폭죽,20111208,13,212,8.0,,임야,산불,강릉시,20111208,26,0,5,113000,종이/목재/건초등,111208000000000.0,10,강원소방본부,28,0,,104900,110100,113800,맑음,,국유림,1-72,20111208,,,105000,0,,17,임야,123500,0,30,20111208,군경사격장,,104926,20111208,폭탄/탄약,1100,풀/나뭇잎,315.0,6.0,강릉소방서,20111208,0,,2011,산아래,47,강원도,부주의,150,8,4.0,3700,옥계119안전센터,0
20111214,불씨/불꽃/화원방치,불꽃/불티,20111214,7,39,2.0,,임야,산불,춘천시,20111214,20,10,0,23517,종이/목재/건초등,111214000000000.0,0,강원소방본부,61,0,,141800,143517,143517,흐림,,사유림,607-1,20111214,,,141940,0,,9,임야,153712,5,15,20111214,기타,,141819,20111214,굴뚝아궁이,1537,풀/나뭇잎,45.0,0.0,춘천소방서,20111214,0,,2011,산아래,48,강원도,부주의,0,6,4.0,0,강촌119안전센터,0
20111224,폭죽놀이,폭발물/폭죽,20111224,4,15,-6.0,,임야,산불,속초시,20111225,4,0,2,111504,종이/목재/건초등,111225000000000.0,0,강원소방본부,27,0,,230600,231004,232604,맑음,,공유림,,20111224,,,230625,0,,9,임야,12704,4,0,20111224,입산자실화,,230621,20111224,폭죽,339,건초,225.0,0.0,속초소방서,20111224,0,,2011,산정상,49,강원도,부주의,0,4,8.0,1600,노학119안전센터,0
20111227,화학적폭발,폭발물/폭죽,20111227,11,108,0.0,,임야,산불,고성군,20111227,49,0,6,23214,종이/목재/건초등,111227000000000.0,15,강원소방본부,0,0,,140900,141714,145814,맑음,,국유림,140,20111227,,,140955,0,,15,임야,161014,0,12,20111227,군경사격장,,140950,20111227,폭탄/탄약,719,건초,0.0,0.0,고성소방서,20111227,0,,2011,산정상,50,강원도,화학적요인,60,13,,4100,간성119안전센터,0
20111228,불씨/불꽃/화원방치,기타,20111228,13,111,-10.0,,임야,산불,홍천군,20111228,8,18,21,83039,종이/목재/건초등,111228000000000.0,50,강원소방본부,73,0,,20200,21313,103038,맑음,,국유림,202-2,20111228,종이/목재/건초등,,20611,0,기타,12,임야,121707,0,10,20111228,입산자실화,,20231,20111228,기타,702,풀/나뭇잎,45.0,0.0,홍천소방서,20111228,4209,풀/나뭇잎,2011,산정상,51,강원도,부주의,0,8,4.0,81725,홍천119안전센터,0
20111231,담배꽁초,담뱃불/라이터불,20111231,3,68,-6.0,,임야,산불,원주시,20111231,6,10,5,64322,종이/목재/건초등,111231000000000.0,22,강원소방본부,40,0,,163600,164310,200022,맑음,,국유림,105,20111231,,,163758,0,,9,임야,211022,0,22,20111231,담뱃불,,163626,20111231,담뱃불,512,잔디,0.0,0.0,원주소방서,20111231,0,,2011,산중턱,52,강원도,부주의,0,4,,31712,단구119안전센터,0
20120111,부주의,담뱃불/라이터불,20120111,12,475,-3.0,동면119지역대,임야,산불,홍천군,20120111,11,15,5,115657,기타,120111000000000.0,30,강원소방본부,39,0,,113700,114912,123609,맑음,,국유림,16,20120111,,,113904,0,,10,임야,130753,0,15,20120111,담뱃불,,113748,20120111,담뱃불,1008,기타,270.0,6.0,홍천소방서,20120111,0,,2012,산아래,1,강원도,부주의,400,11,4.0,4657,홍천119안전센터,0
20120111,부주의,담뱃불/라이터불,20120111,14,72,-1.0,,임야,산불,홍천군,20120111,6,27,10,34851,기타,120111000000000.0,20,강원소방본부,22,0,,150600,151251,165051,맑음,,국유림,산30-2,20120111,,,150743,0,,10,임야,172151,5,0,20120111,입산자실화,,150629,20120111,라이터불/성냥불,508,기타,315.0,0.0,홍천소방서,20120111,2176,,2012,산정상,2,강원도,부주의,0,6,4.0,13800,홍천119안전센터,0
20120113,담배꽁초,담뱃불/라이터불,20120113,6,32,5.0,,임야,산불,강릉시,20120113,18,0,0,121400,쓰레기류,120113000000000.0,0,강원소방본부,37,0,,120000,120600,121700,맑음,아래사다리길20,사유림,244-29,20120113,,,120200,0,,12,임야,130500,0,20,20120113,담뱃불,건조주의보,120052,20120113,담뱃불,400,쓰레기,225.0,0.0,강릉소방서,20120113,0,,2012,산아래,3,강원도,부주의,0,3,4.0,1100,주문진119안전센터,0
20120116,부주의,담뱃불/라이터불,20120116,22,65,0.0,화촌119지역대,임야,산불,홍천군,20120116,13,15,5,122738,기타,120116000000000.0,0,강원소방본부,0,0,,120900,121320,123933,맑음,,국유림,252-1,20120116,,,120956,0,,10,임야,134923,10,20,20120116,입산자실화,,120921,20120116,라이터불/성냥불,324,기타,,1.0,홍천소방서,20120116,0,,2012,산아래,4,강원도,부주의,5,13,,2613,홍천119안전센터,0
